,rewards
0,1231.6000000000004
1,1106.5999999999992
2,813.1000000000026
3,1342.9000000000021
4,1102.0
5,1661.9000000000026
6,1273.4000000000008
7,1353.4000000000005
8,1434.4999999999989
9,1083.1999999999941
10,1480.6000000000008
11,1353.9000000000012
12,1794.0000000000011
13,1783.7999999999977
14,1588.9999999999998
15,1248.500000000001
16,1678.5999999999976
17,1544.700000000001
18,1706.8000000000006
19,1852.3000000000002
20,1725.8999999999994
21,1783.500000000002
22,1820.9000000000015
23,1903.0000000000014
24,1747.500000000003
25,1928.300000000001
26,1843.3999999999996
27,1921.3999999999996
28,1945.9000000000005
29,1799.3000000000013
30,1849.8999999999996
31,1737.700000000003
32,1924.1999999999985
33,1914.1000000000013
34,1921.5000000000034
35,1968.4000000000003
36,1914.3000000000004
37,1969.2000000000014
38,1897.299999999999
39,1894.5000000000023
40,1867.800000000006
41,1813.2000000000005
42,1942.7000000000019
43,1848.2000000000007
44,1882.5000000000032
45,1915.7999999999997
46,1540.4000000000015
47,1912.7000000000057
48,1748.5999999999933
49,1794.4000000000042
50,1840.900000000003
51,1813.6999999999998
52,1885.5999999999988
53,1953.4000000000049
54,1923.500000000001
55,1830.5000000000011
56,1756.0000000000077
57,1669.5000000000034
58,1802.0000000000034
59,1209.9999999999868
60,1865.800000000003
61,1807.500000000011
62,1839.5000000000052
63,1733.6999999999978
64,1291.4999999999973
65,1738.7000000000016
66,1792.1
67,1879.500000000006
68,1857.7999999999993
69,1851.0999999999965
70,1683.3999999999994
71,1854.0000000000016
72,1798.4000000000035
73,1831.0999999999956
74,1655.0000000000048
75,1880.5000000000039
76,1847.4000000000008
77,1895.6000000000001
78,1728.800000000007
79,1630.0999999999979
80,1742.7000000000064
81,1829.1000000000006
82,1715.499999999993
83,1424.5000000000057
84,1823.000000000005
85,1785.8000000000052
86,1838.3999999999955
87,1772.0000000000016
88,1782.1000000000051
89,1709.7000000000041
90,1826.4000000000085
91,1784.5000000000073
92,1866.3000000000186
93,1771.6000000000024
94,1747.8999999999992
95,1929.800000000009
96,1858.90000000001
97,1819.100000000003
98,1846.8000000000036
99,1837.600000000004
