,rewards,random_rewards
0,1503.8289118302794,1348.1179091021502
1,1682.012770394984,1311.2198010029724
2,1660.0416539203245,1409.6794413013072
3,1462.3042587220382,1513.3312310028598
4,767.9527181335046,1209.5430698559528
5,924.4218510990295,1355.9541228477667
6,1718.9648492108095,971.0818553892595
7,1333.7258986286672,1387.9222160210759
8,1491.5902815966438,1705.3870161284374
9,1682.3273835464197,1200.0529800576426
10,1964.2442126168014,1482.6283363806372
11,1536.0954791133217,1230.4820428751957
12,1939.2630739076253,1513.217542547059
13,1215.323064486418,1597.0265705111365
14,1505.083564353028,1760.9352636433844
15,1650.0137323228807,1250.4936932372927
16,1135.136188675754,1955.028698614924
17,1426.1449890587257,1722.3757697653748
18,1105.8097189341443,858.7102504474924
19,1945.077201279924,1270.1610055485446
20,1535.6313266589448,1788.5945050531627
21,1524.5305655121608,1708.661317036622
22,992.6130750794545,1632.4985289336219
23,739.8224559455426,900.9778250899384
24,1506.7538784719015,1382.5546819468475
25,1275.677864947799,1353.8903827527324
26,1859.2809782724376,1115.2974905186989
27,1242.7099549230077,1153.1117833753706
28,1510.10759529288,1214.5192881723026
29,1468.3279090443548,1471.2577299655613
30,2181.0873737044967,1307.4748684657739
31,1620.9987364232898,1527.7657067736927
32,1339.1263541184503,1979.188639236322
33,1834.120207233849,1856.1521619147975
34,895.0207235760123,1187.0477941382912
35,1241.8733238597945,950.9856205706488
36,1699.387133149617,1113.207827939369
37,1524.7993010671973,998.2825903403042
38,1709.054690571586,1570.803087285811
39,1233.374856619767,890.2779643148756
40,1074.397950130691,1444.0702684985558
41,1339.8246523219157,1548.8414107969559
42,1277.6521718380684,1985.749433488391
43,1649.805862543573,1483.8787070564351
44,1558.4385283671495,1052.6460250436578
45,1504.659803621885,1158.013838917785
46,1808.4867818162995,1479.2196758142907
47,1815.4835457587317,1327.0989304966495
48,1286.8698105089825,1621.7484209070542
49,1118.5064341120392,1165.6331143620107
50,909.3882572032184,1298.7760679718758
51,1321.1395268813253,1734.4278770908766
52,1518.2337809196358,1570.565178907179
53,1423.6889725610401,1319.692120578452
54,1865.7807717339165,1792.588698051742
55,1641.4338358056714,1660.0923354398517
56,1683.4751225444495,1834.051631671627
57,1240.3126025275956,1285.8553026189609
58,1230.924730597587,1542.2489454926194
59,1268.6263319240513,2003.6723434490623
60,1986.1391049851413,1526.2588488880915
61,1237.292968407513,1390.1674676613045
62,1635.6122510406074,1259.5864411555253
