,rewards,random_rewards
0,807.2039231235658,513.3957038395258
1,780.6689102225889,721.1696667277729
2,257.4597785597934,605.1897468254288
3,654.0492328334263,591.5449138581627
4,769.0652564792915,593.3346546317607
5,845.5691592327127,494.7816147255522
6,1037.5528957333281,693.8107572297872
7,1093.9929714647865,289.218487162598
8,1058.216012368558,530.8957637076878
9,975.3999941039812,384.7084850103841
10,1004.2163763457206,1227.5861561203892
11,978.7910288960887,502.4168971162252
12,661.2733407355398,1020.993687755273
13,657.1133707787934,415.12560715341954
14,1209.6769534537777,480.419250208223
15,470.0382995050313,477.741471347356
16,857.7839705206419,297.5404027033545
17,881.6734436387345,195.3110505941518
18,773.7599301995995,675.970937703608
19,964.5920174624964,497.6615544243908
20,780.0873925741108,494.19185289547266
21,766.3380899303658,897.437801990138
22,814.8881989544376,590.736546825772
23,1052.1254020286178,707.368941855464
24,880.5031479529201,401.55886579051014
25,741.4962566381552,375.58510090787576
26,987.6308334957183,903.2874158986175
27,546.149226542117,708.1022990938669
28,543.5289413071132,886.2031539459258
29,576.4318522279784,712.7566285644843
30,771.5591559425621,189.32850631428826
31,852.176659059401,818.2777415141222
32,1087.0134415525429,578.8083382028786
33,857.7239887479959,721.9886850692154
34,705.0531169617676,916.3902031181399
35,969.999896854448,688.5006791195536
36,709.4872475063435,494.46193193923636
37,1046.1839044881208,592.7480663693088
38,769.7316099791899,515.0992543107345
39,641.3779442631173,594.0332365418003
40,613.8462859692308,990.7762759696362
41,849.1622651300675,569.974185515475
42,1174.8575031487069,594.0718932903526
43,891.9755159626925,421.1979038678007
44,1233.1478670333854,813.6726878466488
45,789.5119720016193,532.6175109593808
46,996.5854713254311,676.7713457832566
47,639.528278267661,1037.6315524272418
48,556.7922196546409,656.3528913241947
49,770.5506212485928,601.9315361327426
50,743.6745136592111,501.30061329579115
51,1090.3972044951774,705.930932294701
52,564.4751797191742,398.89896135160296
53,853.4490860576029,380.6922231023443
54,661.0569389961071,575.075550582444
55,1044.5751816419422,710.306004385356
56,784.7016806421689,374.9782403539654
57,785.6394534481732,507.54741234251446
58,568.720302265489,618.0014191282722
59,1007.4375302103834,602.6944637384249
60,984.0297545380192,385.6092177072296
61,1152.5842737772784,421.82675541553726
62,838.6566826405357,497.064386125401
63,1073.334660597864,830.388942938252
64,973.5633935443564,596.104384080246
65,756.0819423162663,511.63050728151325
66,1244.5374170252362,501.887687465236
67,519.1825321916365,692.6956254872074
68,855.5406468578976,726.8971861552347
69,596.2651804803146,699.3888963665571
70,804.839404875084,624.4437461658717
71,729.548360849001,588.6828681202431
72,884.782421950086,488.4075809851886
73,882.8370467751895,605.8971502842732
74,856.9335484535981,283.9034075371557
75,1073.3464918779057,311.34385585983966
76,793.6149397762921,522.2518917599554
77,645.0568137341064,401.29392165493994
78,613.0191795826555,493.76055850307824
79,840.2791324946706,495.68766936997616
80,673.5189147780684,498.7933447747919
81,1082.628833325863,590.039793163638
82,788.273337835465,523.1310062805545
83,1058.8131747989341,511.1067695417802
84,673.4323386134179,711.3255040629596
85,866.0661466062819,469.88502896219796
86,865.1816272908724,391.3224427179767
87,1043.1005805847303,517.5267417722519
88,1090.1902073091233,505.1228547972821
89,641.6336579151946,691.8059868105917
90,1004.1635775294216,588.7644630762859
91,953.8016995829506,507.1576762399307
92,1473.8682909286895,411.9863160627953
93,691.5407666749413,789.8092585847685
94,572.905675847624,601.591074030316
95,1301.75405455698,400.2551638242693
96,655.3695277369333,821.6382058237741
97,962.2115472340104,567.6654794105643
98,880.2214590474215,575.938292846799
99,687.3555996685093,1111.0209093548078
100,873.1885977454065,477.3718105522941
101,768.4193773343862,303.4089517640998
102,786.90312198717,708.1925597845095
103,1022.9522411880438,698.9625728778447
104,554.9494452559836,822.9373553726855
105,919.7225575051694,278.6281692091595
106,1202.0366105668852,686.3318674517105
107,816.8606979730375,730.979705464689
108,1035.179388687458,531.4366319342388
109,1280.6807892634743,908.164768572579
110,1156.8174248356836,689.7465565092368
111,241.70678936733233,745.2145125067605
112,861.2188766981184,586.6724066761105
113,973.7808464942372,820.7853829018861
114,816.9724987689315,472.84469827275876
115,765.3425348730644,716.6363731736388
116,1069.3859522733155,508.435235518764
117,948.1410773282008,703.1951082279616
118,1048.8804888432892,605.7308554044246
119,665.8276838721379,524.3238403574907
120,1151.9925479329268,592.0229216471938
121,778.118483150343,809.2622365410508
122,818.6775251955755,836.258479511375
123,968.0677409896737,833.3314075801613
124,1194.529987170128,683.8861813009078
125,927.8346805573442,500.6257371354378
126,886.4618335324518,742.8372317146328
127,981.0915351951318,597.33974065488
128,1091.2524207532388,621.6717777112701
129,643.510364079383,808.1984961473624
130,529.3023344074446,398.7377193362682
131,815.9589357661648,615.5104602280697
132,756.2936549380464,816.2440421632123
133,651.0126721856462,378.7540259004256
134,953.9627737286111,787.8487041701162
135,955.7824463093946,941.8557585974298
136,1327.9028467834928,704.6999999514113
137,1057.8132838768356,729.7506344840316
138,974.4781534442625,400.02650798986633
139,465.79115012730074,490.2568382480396
140,682.2822621214788,701.4471007311056
141,977.6582843904149,383.65274305077895
142,500.254697938799,704.4952403875654
143,1069.9005781939059,506.2477362638442
144,774.826051896663,216.55422592369248
145,852.6948340791749,393.75967565741166
146,1003.0709069114026,1021.024656325468
147,681.6856000697189,796.5882620894591
148,1120.5736922808856,796.5481906411854
149,882.986620381112,692.9868883524518
150,783.2553999770345,684.1533710590002
