,rewards
655,146.25000000000003
656,37.888888888889035
657,35.71865079365077
658,122.35674603174603
659,102.5
660,100.0
661,142.1642857142857
662,112.02857142857141
663,154.00357142857155
664,128.76071428571427
665,100.0
666,104.36666666666666
667,101.0
668,102.5
669,123.94801587301586
670,104.60119047619048
671,100.0
672,131.40952380952382
673,110.84166666666667
674,106.42738095238096
675,112.54404761904762
676,102.5
677,109.19246031746032
678,33.09444444444447
679,100.0
680,100.0
681,125.25
682,158.66666666666674
683,109.30674603174603
684,33.63650793650801
685,128.34285714285713
686,104.44126984126984
687,121.7162698412698
688,100.0
689,100.0
690,124.31031746031742
691,31.455555555555662
692,133.99999999999997
693,120.08095238095237
694,121.55595238095233
695,129.80555555555554
696,58.09285714285745
697,104.36666666666666
698,130.37023809523816
699,109.2154761904762
700,106.13333333333334
701,32.344047619047664
702,33.81349206349203
703,137.83333333333331
704,38.28015873015897
705,45.849603174603345
706,100.0
707,103.33333333333333
708,57.86150793650829
709,132.16666666666666
710,126.00833333333335
711,102.5
712,105.31071428571428
713,142.87857142857143
714,56.9916666666667
715,102.5
716,46.529365079365135
717,50.15476190476222
718,107.33333333333333
719,100.0
720,144.26666666666668
721,124.37063492063491
722,205.33333333333331
723,41.14206349206369
724,158.66666666666669
725,101.5
726,166.6666666666667
727,104.36666666666666
728,105.31071428571428
729,100.0
730,123.91666666666666
731,100.0
732,117.33333333333334
733,100.0
734,101.0
735,100.0
736,114.59047619047618
737,128.33333333333331
738,33.82420634920632
739,118.00238095238092
740,104.36666666666666
741,34.08888888888891
742,115.67341269841266
743,38.36904761904776
744,132.17023809523818
745,100.0
746,104.36666666666666
747,158.35476190476197
748,104.97857142857143
749,31.58174603174606
750,143.16666666666669
751,154.8333333333334
752,119.4662698412698
753,124.77023809523811
754,111.29285714285714
755,115.34642857142855
756,105.31071428571428
757,130.02182539682548
758,163.31071428571434
759,50.31785714285722
760,109.78531746031746
761,197.74999999999997
762,101.0
763,31.441269841269946
764,36.46031746031767
765,100.0
766,123.42896825396824
767,104.16666666666642
768,55.446825396825744
769,104.36666666666666
770,53.99761904761923
771,112.64285714285715
772,31.044444444444547
773,102.5
774,102.91666666666667
775,32.5293650793652
776,48.076190476190654
777,124.3912698412698
778,123.34642857142856
779,30.950000000000102
780,44.820634920635136
781,30.997222222222323
782,39.60476190476199
783,31.441269841269946
784,108.06230158730159
785,100.0
786,40.75714285714309
787,133.79999999999998
788,31.746825396825482
789,104.36666666666666
790,37.99722222222226
791,136.31626984126984
792,102.5
793,102.5
794,47.27857142857162
795,31.619444444444454
796,31.07896825396836
797,122.33333333333333
798,124.06746031746027
799,112.85357142857143
800,117.89285714285711
801,33.33015873015874
802,107.66666666666667
803,30.83333333333343
804,37.499603174603344
805,117.72182539682537
806,121.66904761904757
807,103.96904761904761
808,103.29285714285714
809,105.31071428571428
810,118.32023809523807
811,50.47619047619044
812,164.9166666666667
813,33.51785714285714
814,114.34960317460316
815,133.1630952380952
816,42.21428571428584
817,100.0
818,100.0
819,30.92777777777788
820,105.31071428571428
821,31.86666666666678
822,166.6666666666667
823,100.0
824,184.0980158730156
825,100.0
826,32.408333333333296
827,118.96904761904759
828,108.6829365079365
829,101.0
830,38.55277777777801
831,157.25000000000006
832,83.9238095238096
833,35.88611111111115
834,122.37896825396822
835,109.17619047619047
836,32.43849206349209
837,105.31071428571428
838,101.0
839,166.16666666666677
840,33.506746031746026
841,111.6829365079365
842,101.0
843,51.92619047619044
844,30.83333333333343
845,32.11626984126996
846,50.79999999999998
847,50.476190476190446
848,101.0
849,69.50515873015894
850,117.37460317460315
851,31.441269841269946
852,117.32738095238095
853,207.66666666666663
854,45.535714285714505
855,135.1023809523809
856,102.5
857,100.0
858,138.33333333333331
859,32.04007936507935
860,153.10357142857154
861,30.83333333333343
862,119.85119047619045
863,30.997222222222323
864,129.5892857142858
865,123.91309523809522
866,105.31071428571428
867,100.0
868,65.62023809523834
869,30.926190476190577
870,31.772222222222215
871,121.69126984126983
872,107.08333333333333
873,140.31190476190477
874,100.0
875,101.0
876,129.63809523809525
877,164.33333333333343
878,100.0
879,32.85634920634934
880,142.16666666666669
881,82.12301587301523
882,117.36904761904759
883,132.05476190476185
884,32.872222222222355
885,112.33333333333334
886,134.06666666666632
887,31.441269841269946
888,31.466666666666775
889,108.05952380952381
890,101.0
891,100.0
892,33.472222222222214
893,100.0
894,111.8452380952381
895,57.786904761904914
896,30.926190476190577
897,55.86190476190494
898,33.03333333333335
899,31.84007936507936
900,42.485714285714494
901,102.5
902,34.83849206349204
903,30.83333333333343
904,32.90833333333332
905,31.913888888888984
906,148.28571428571428
907,118.55793650793647
908,104.16666666666642
909,121.75
910,104.16666666666642
911,128.19761904761907
912,126.97341269841273
913,108.76785714285714
914,98.74999999999991
915,105.31071428571428
916,102.5
917,100.0
918,93.90238095238044
919,31.441269841269946
920,30.937301587301686
921,32.19444444444455
922,30.869444444444543
923,97.01349206349157
924,100.0
925,31.441269841269946
926,50.476190476190446
927,94.92460317460265
928,151.87142857142857
929,114.40515873015872
930,102.5
931,104.36666666666666
932,33.47222222222222
933,101.0
934,126.83333333333331
935,119.55119047619044
936,101.0
937,104.16666666666642
938,105.31071428571428
939,31.090079365079447
940,86.81666666666672
941,86.78015873015818
942,31.761111111111223
943,100.0
944,115.68849206349205
945,100.0
946,191.49999999999997
947,33.16666666666667
948,53.028968253968515
949,121.90952380952378
950,105.31071428571428
951,105.31071428571428
952,67.47896825396828
953,104.36666666666666
954,100.0
955,117.69047619047618
956,105.31071428571428
957,125.25357142857143
958,49.670634920634924
959,33.16111111111111
960,120.48571428571425
961,100.0
962,151.3476190476191
963,33.4611111111111
964,105.31071428571428
965,84.65000000000005
966,100.0
967,111.29563492063491
968,50.476190476190446
969,100.0
970,30.948412698412795
971,33.46111111111111
972,110.32182539682539
973,77.60238095238063
974,105.0
975,124.84960317460315
976,129.64404761904768
977,102.5
978,137.33333333333334
979,104.36666666666666
980,31.761111111111205
981,36.599603174603175
982,105.31071428571428
983,31.53611111111113
984,100.0
985,102.5
986,114.23095238095237
987,33.238888888888894
988,36.49007936507936
989,113.41666666666667
990,89.10000000000007
991,39.9690476190479
992,31.87619047619047
993,105.31071428571428
994,101.0
995,156.5833333333334
996,31.100000000000176
997,196.36666666666662
