,rewards
140,-64.56000000000002
141,-90.40999999999998
142,-68.91
143,-123.21
144,-146.51999999999998
145,-127.83000000000001
146,-47.01999999999996
147,-142.04999999999995
148,-109.35999999999993
149,-64.17
150,-118.45
151,-120.28999999999994
152,70.21000000000001
153,-118.41
154,-123.8
155,-95.19000000000003
156,95.64
157,-127.79
158,-122.78999999999999
159,-118.91999999999996
160,-83.06999999999998
161,-108.16000000000001
162,-146.26
163,-138.04
164,97.19
165,83.19
166,-147.72
167,-113.58999999999995
168,-137.59999999999994
169,-143.65999999999997
170,-125.23
171,-143.6
172,-128.48999999999998
173,-134.54
174,-130.10999999999996
175,-111.24999999999997
176,-113.87
177,-145.64
178,-115.00999999999993
179,-146.93
180,-135.80000000000007
181,-93.89
182,-140.03
183,-124.78999999999999
184,86.85
185,-100.91
186,-149.55
187,-52.410000000000004
188,-125.59
189,-147.76999999999992
190,-130.64000000000001
191,-148.53
192,-107.25000000000003
193,-144.75
194,99.15
195,-83.12000000000002
196,-149.32
197,-143.87
198,99.74
199,-149.39
200,-139.63999999999996
201,-93.85
202,-142.94999999999996
203,-128.93
204,-142.76999999999998
205,-148.84
206,-147.24
207,-134.55000000000004
208,-141.40999999999997
209,-148.51999999999998
210,-88.87999999999998
211,-138.08999999999997
212,-143.32000000000002
213,-131.69
214,-133.27999999999997
215,-128.81
216,-118.40999999999997
217,-140.47
218,-147.99999999999997
219,-135.51000000000002
220,-117.27999999999996
221,-143.84
222,-111.27999999999997
223,-90.50000000000003
224,-139.45
225,-146.87999999999997
226,-119.16999999999999
227,-138.26
228,-89.25999999999999
229,-137.18
230,-56.59999999999999
231,-96.4
232,-143.73
233,-142.74
234,-145.5
235,-136.08999999999997
236,-120.30000000000001
237,-149.93
238,-146.76999999999998
239,-133.89999999999995
240,-142.95
241,-133.3
242,-142.34
243,-112.23999999999998
244,-130.65999999999997
245,-139.21
246,-116.58
247,-145.71999999999997
248,-131.11
249,-143.8
250,-142.45
251,-143.10999999999999
252,-134.26
253,-133.8
254,-147.59
255,-115.35
256,-145.75
257,-142.19
258,-149.95
259,-131.56
260,-139.96999999999997
261,-147.23000000000002
262,-142.29
263,-118.72999999999998
264,-101.41999999999999
265,-136.57999999999998
266,-141.44
267,-146.57999999999998
268,-123.45000000000003
269,-139.99000000000004
270,-148.94000000000003
271,-146.96999999999997
272,-144.26
273,-149.24
274,-124.86999999999999
275,-148.78
276,-135.38
277,-140.62
278,-144.32999999999998
279,-134.2
280,-136.13
281,-135.08999999999995
282,-148.99
283,-146.53999999999994
284,97.63
285,-140.51
286,-135.34999999999997
287,-145.84
288,-135.03
289,-143.2
290,-149.92000000000002
291,-134.10999999999993
292,-142.98
293,-142.2
294,-129.82999999999996
295,-129.86999999999995
296,-144.85999999999999
297,-148.55999999999995
298,-140.86999999999998
299,-142.23999999999998
300,-145.49
301,-143.66000000000003
302,-148.13
303,-148.47
304,-130.50999999999996
305,-141.84
306,-149.9
307,-149.31
308,-95.03999999999999
309,-142.1
310,-134.65999999999997
311,-145.89999999999998
312,-145.95999999999998
313,-138.82
314,-139.22
315,-147.45
316,-119.74
317,-128.48
318,-141.45999999999995
319,-149.63
320,-128.54999999999995
321,-141.34
322,-139.38
323,-143.39
324,-140.36
325,-133.19
326,-147.86999999999998
327,-149.71
328,-137.96999999999994
329,-139.78
330,-147.81
331,-132.54
332,-138.44
333,-149.51999999999998
334,-130.74
335,-147.96999999999997
336,-120.19999999999999
337,-137.84
338,-125.96999999999998
339,-149.39
340,-133.59999999999997
341,-144.5
342,-149.03
343,-130.79999999999998
344,-149.24999999999994
345,-142.65
346,-139.68
347,-144.66000000000003
348,99.95
349,-148.46
350,-146.19999999999996
351,-147.97
352,-147.97000000000003
353,-147.84000000000003
354,-140.54000000000002
355,-149.60999999999999
356,-147.84999999999994
357,-148.01000000000002
358,-138.07999999999998
359,-134.71999999999997
360,-143.42999999999998
361,-146.70999999999995
362,-149.13
363,-142.43
364,-131.15999999999997
365,-143.32999999999998
366,-144.29999999999998
367,-149.21
368,-134.4
369,-148.5
370,-122.74999999999996
371,-147.01999999999998
372,-138.78
373,-137.94
374,-147.57
375,-147.86999999999995
376,-144.2
377,-138.95999999999998
378,-137.8
379,-135.13
380,-131.81
381,-149.73000000000002
382,-146.93
383,-145.72
384,-141.95
385,-149.20999999999998
386,-144.35999999999999
387,-149.63000000000002
388,-149.56
389,-148.65
390,-148.64
391,-137.67000000000002
392,-135.45999999999998
393,-147.95
394,-148.93
395,-143.96999999999997
396,-142.9
397,-145.20999999999998
398,-149.74
399,-148.42000000000002
400,-148.51000000000002
401,-141.64
402,-146.92
403,-147.09999999999997
404,-147.75999999999996
405,-141.81999999999996
406,-145.32
407,-139.44
408,-140.04000000000002
409,-148.22
410,-149.79000000000002
411,-144.73
412,-131.33999999999997
413,-149.03000000000003
414,-148.24999999999994
415,-146.17000000000002
416,-145.4
417,-133.16
418,-147.81
419,-135.23
420,-136.75
421,-148.41
422,-149.24
423,-133.64000000000001
424,-131.57999999999998
425,-148.62
426,-129.47999999999996
427,-139.44
428,-133.75
429,-147.86
430,-148.55999999999997
431,-148.12
432,-149.62
433,-148.42999999999998
434,-149.41999999999996
435,-147.32999999999998
436,-148.50999999999996
437,-147.26
438,-144.82999999999998
439,-133.56
440,-131.38
441,-137.79000000000002
442,-134.69
443,-142.29999999999995
444,-139.23000000000002
445,-149.0
446,-147.12999999999997
447,-147.50999999999996
448,-147.44999999999996
449,-149.04999999999995
450,-149.01999999999998
451,-146.91
452,-142.07
453,-143.30999999999997
454,-147.28
455,-141.94
456,-140.35999999999999
457,-140.43999999999997
458,-144.99
459,-148.51
460,-131.76
461,-149.51
462,-147.61
463,-140.08999999999997
464,-146.2
465,-140.69
466,-148.91999999999996
467,-143.32999999999998
468,-144.70999999999998
469,-138.00999999999996
470,-147.69
471,-148.73
472,-142.43
473,-133.65
474,-135.17
475,-149.38
476,-148.54
477,-143.64
478,-147.09
479,-147.9
480,-138.25
481,-141.44
482,-116.61999999999998
483,-145.82999999999998
484,-142.92000000000002
485,-142.95
486,-134.88
487,-142.35000000000002
488,-146.78
489,-145.54999999999998
490,-134.7
491,-142.48999999999998
492,-148.10999999999999
493,-140.27999999999997
494,-149.0
495,-147.85
496,-149.22999999999996
497,-149.82
498,-149.04
499,-142.78
500,-148.6
